OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
co-iss-n1463526046,Cassini ISS,Saturn,Saturn,2004-05-17T22:36:54.972,1.2000
co-iss-n1463526086,Cassini ISS,Saturn,Saturn,2004-05-17T22:37:18.176,18.0000
co-iss-n1463526103,Cassini ISS,Saturn,Saturn,2004-05-17T22:37:52.920,0.2600
co-iss-n1463526120,Cassini ISS,Saturn,Saturn,2004-05-17T22:38:09.620,0.5600
co-iss-n1463526137,Cassini ISS,Saturn,Saturn,2004-05-17T22:38:27.000,0.1800
co-iss-n1463526171,Cassini ISS,Saturn,Saturn,2004-05-17T22:39:00.959,0.2200
co-iss-n1463526188,Cassini ISS,Saturn,Saturn,2004-05-17T22:39:16.179,2.0000
co-iss-n1463526205,Cassini ISS,Saturn,Saturn,2004-05-17T22:39:34.179,1.0000
co-iss-n1463526237,Cassini ISS,Saturn,Saturn,2004-05-17T22:40:01.587,5.6000
co-iss-n1463526254,Cassini ISS,Saturn,Saturn,2004-05-17T22:40:22.191,2.0000
co-iss-n1463526294,Cassini ISS,Saturn,Saturn,2004-05-17T22:40:46.194,18.0000
co-iss-n1463526382,Cassini ISS,Saturn,Saturn,2004-05-17T22:41:54.198,38.0000
co-iss-n1463526438,Cassini ISS,Saturn,Saturn,2004-05-17T22:43:10.205,18.0000
co-iss-n1463526478,Cassini ISS,Saturn,Saturn,2004-05-17T22:44:05.609,2.6000
co-iss-n1463526526,Cassini ISS,Saturn,Saturn,2004-05-17T22:44:48.012,8.2000
co-iss-n1463526559,Cassini ISS,Saturn,Saturn,2004-05-17T22:45:28.016,1.2000
co-iss-n1463526607,Cassini ISS,Saturn,Saturn,2004-05-17T22:46:09.023,8.2000
co-iss-n1463526624,Cassini ISS,Saturn,Saturn,2004-05-17T22:46:33.027,1.2000
co-iss-n1463527880,Cassini ISS,Saturn,Saturn,2004-05-17T23:06:58.149,32.0000
co-iss-n1463527952,Cassini ISS,Saturn,Saturn,2004-05-17T23:08:20.148,22.0000
co-iss-n1463528000,Cassini ISS,Saturn,Saturn,2004-05-17T23:09:20.156,10.0000
co-iss-n1463528034,Cassini ISS,Saturn,Saturn,2004-05-17T23:10:02.959,1.2000
co-iss-n1463528074,Cassini ISS,Saturn,Saturn,2004-05-17T23:10:26.163,18.0000
co-iss-n1463528091,Cassini ISS,Saturn,Saturn,2004-05-17T23:11:00.907,0.2600
co-iss-n1463528108,Cassini ISS,Saturn,Saturn,2004-05-17T23:11:17.607,0.5600
co-iss-n1463528125,Cassini ISS,Saturn,Saturn,2004-05-17T23:11:34.987,0.1800
co-iss-n1463528142,Cassini ISS,Saturn,Saturn,2004-05-17T23:11:51.487,0.6800
co-iss-n1463528159,Cassini ISS,Saturn,Saturn,2004-05-17T23:12:08.946,0.2200
co-iss-n1463528176,Cassini ISS,Saturn,Saturn,2004-05-17T23:12:24.166,2.0000
co-iss-n1463528193,Cassini ISS,Saturn,Saturn,2004-05-17T23:12:42.166,1.0000
co-iss-n1463528225,Cassini ISS,Saturn,Saturn,2004-05-17T23:13:09.574,5.6000
co-iss-n1463528282,Cassini ISS,Saturn,Saturn,2004-05-17T23:13:54.181,18.0000
co-iss-n1463528370,Cassini ISS,Saturn,Saturn,2004-05-17T23:15:02.185,38.0000
co-iss-n1463528426,Cassini ISS,Saturn,Saturn,2004-05-17T23:16:18.192,18.0000
co-iss-n1463528466,Cassini ISS,Saturn,Saturn,2004-05-17T23:17:13.596,2.6000
co-iss-n1463528514,Cassini ISS,Saturn,Saturn,2004-05-17T23:17:55.999,8.2000
co-iss-n1463528547,Cassini ISS,Saturn,Saturn,2004-05-17T23:18:36.003,1.2000
co-iss-n1463528595,Cassini ISS,Saturn,Saturn,2004-05-17T23:19:17.010,8.2000
co-iss-n1463528612,Cassini ISS,Saturn,Saturn,2004-05-17T23:19:41.014,1.2000
co-iss-n1463529868,Cassini ISS,Saturn,Saturn,2004-05-17T23:40:06.136,32.0000
co-iss-n1463529940,Cassini ISS,Saturn,Saturn,2004-05-17T23:41:28.135,22.0000
co-iss-n1463529988,Cassini ISS,Saturn,Saturn,2004-05-17T23:42:28.143,10.0000
co-iss-n1463530022,Cassini ISS,Saturn,Saturn,2004-05-17T23:43:10.946,1.2000
co-iss-n1463530062,Cassini ISS,Saturn,Saturn,2004-05-17T23:43:34.150,18.0000
co-iss-n1463530079,Cassini ISS,Saturn,Saturn,2004-05-17T23:44:08.894,0.2600
co-iss-n1463530096,Cassini ISS,Saturn,Saturn,2004-05-17T23:44:25.594,0.5600
co-iss-n1463530113,Cassini ISS,Saturn,Saturn,2004-05-17T23:44:42.974,0.1800
co-iss-n1463530130,Cassini ISS,Saturn,Saturn,2004-05-17T23:44:59.474,0.6800
co-iss-n1463530147,Cassini ISS,Saturn,Saturn,2004-05-17T23:45:16.933,0.2200
co-iss-n1463530164,Cassini ISS,Saturn,Saturn,2004-05-17T23:45:32.153,2.0000
co-iss-n1463530181,Cassini ISS,Saturn,Saturn,2004-05-17T23:45:50.153,1.0000
co-iss-n1463530213,Cassini ISS,Saturn,Saturn,2004-05-17T23:46:17.561,5.6000
co-iss-n1463530230,Cassini ISS,Saturn,Saturn,2004-05-17T23:46:38.165,2.0000
co-iss-n1463530270,Cassini ISS,Saturn,Saturn,2004-05-17T23:47:02.168,18.0000
co-iss-n1463530358,Cassini ISS,Saturn,Saturn,2004-05-17T23:48:10.172,38.0000
co-iss-n1463530414,Cassini ISS,Saturn,Saturn,2004-05-17T23:49:26.179,18.0000
co-iss-n1463530454,Cassini ISS,Saturn,Saturn,2004-05-17T23:50:21.583,2.6000
co-iss-n1463530502,Cassini ISS,Saturn,Saturn,2004-05-17T23:51:03.986,8.2000
co-iss-n1463530535,Cassini ISS,Saturn,Saturn,2004-05-17T23:51:43.990,1.2000
co-iss-n1463530583,Cassini ISS,Saturn,Saturn,2004-05-17T23:52:24.998,8.2000
co-iss-n1463530600,Cassini ISS,Saturn,Saturn,2004-05-17T23:52:49.001,1.2000
co-iss-n1463531856,Cassini ISS,Saturn,Saturn,2004-05-18T00:13:14.123,32.0000
co-iss-n1463531928,Cassini ISS,Saturn,Saturn,2004-05-18T00:14:36.122,22.0000
co-iss-n1463531976,Cassini ISS,Saturn,Saturn,2004-05-18T00:15:36.130,10.0000
co-iss-n1463532010,Cassini ISS,Saturn,Saturn,2004-05-18T00:16:18.934,1.2000
co-iss-n1463532050,Cassini ISS,Saturn,Saturn,2004-05-18T00:16:42.137,18.0000
co-iss-n1463532067,Cassini ISS,Saturn,Saturn,2004-05-18T00:17:16.881,0.2600
co-iss-n1463532084,Cassini ISS,Saturn,Saturn,2004-05-18T00:17:33.581,0.5600
co-iss-n1463532101,Cassini ISS,Saturn,Saturn,2004-05-18T00:17:50.961,0.1800
co-iss-n1463532118,Cassini ISS,Saturn,Saturn,2004-05-18T00:18:07.461,0.6800
co-iss-n1463532135,Cassini ISS,Saturn,Saturn,2004-05-18T00:18:24.921,0.2200
co-iss-n1463532152,Cassini ISS,Saturn,Saturn,2004-05-18T00:18:40.140,2.0000
co-iss-n1463532169,Cassini ISS,Saturn,Saturn,2004-05-18T00:18:58.140,1.0000
co-iss-n1463532201,Cassini ISS,Saturn,Saturn,2004-05-18T00:19:25.548,5.6000
co-iss-n1463532218,Cassini ISS,Saturn,Saturn,2004-05-18T00:19:46.152,2.0000
co-iss-n1463532258,Cassini ISS,Saturn,Saturn,2004-05-18T00:20:10.155,18.0000
co-iss-n1463532346,Cassini ISS,Saturn,Saturn,2004-05-18T00:21:18.159,38.0000
co-iss-n1463532402,Cassini ISS,Saturn,Saturn,2004-05-18T00:22:34.166,18.0000
co-iss-n1463532442,Cassini ISS,Saturn,Saturn,2004-05-18T00:23:29.570,2.6000
co-iss-n1463532490,Cassini ISS,Saturn,Saturn,2004-05-18T00:24:11.973,8.2000
co-iss-n1463532523,Cassini ISS,Saturn,Saturn,2004-05-18T00:24:51.977,1.2000
co-iss-n1463532571,Cassini ISS,Saturn,Saturn,2004-05-18T00:25:32.985,8.2000
co-iss-n1463532588,Cassini ISS,Saturn,Saturn,2004-05-18T00:25:56.988,1.2000
